no,유형,기업,접수일,보고서,회계연도,기준월,doc_id,XBRL,우선순위
1,2023 annual 제조,삼성전자,20240312,annual,2023,12,periodic_20240312000736,없음,★ 사람이 채운다
2,2023 annual 금융,KB금융,20240314,annual,2023,12,periodic_20240314001585,없음,★ 사람이 채운다
3,2023 half 제조,삼성전자,20230814,half,2023,6,periodic_20230814002534,없음,★ 사람이 채운다
4,2023 half 금융,KB금융,20230814,half,2023,6,periodic_20230814003016,없음,★ 사람이 채운다
5,2023 quarter 제조,삼성전자,20230515,quarter,2023,3,periodic_20230515002335,없음,★ 사람이 채운다
6,2023 quarter 금융,KB금융,20230515,quarter,2023,3,periodic_20230515002541,없음,★ 사람이 채운다
7,2025 annual 제조,삼성전자,20260310,annual,2025,12,periodic_20260310002820,있음,
8,2025 annual 금융,KB금융,20260313,annual,2025,12,periodic_20260313001191,있음,
9,2025 half 제조,삼성전자,20250814,half,2025,6,periodic_20250814003156,있음,
10,2025 half 금융,KB금융,20250814,half,2025,6,periodic_20250814004355,있음,
11,2025 quarter 제조,삼성전자,20250515,quarter,2025,3,periodic_20250515001922,있음,
12,2025 quarter 금융,KB금융,20250515,quarter,2025,3,periodic_20250515002905,있음,
13,PDF KB금융,KB금융,20260619,annual,2025,12,periodic_20260619000667,없음,★ 사람이 채운다
14,PDF 한화오션,한화오션,20240514,quarter,2024,3,periodic_20240514001522,없음,★ 사람이 채운다
15,업종 건설,현대건설,20260318,annual,2025,12,periodic_20260318001395,있음,
16,업종 유통,이마트,20260318,annual,2025,12,periodic_20260318001024,있음,
17,업종 바이오,셀트리온,20260316,annual,2025,12,periodic_20260316001415,있음,
18,업종 코스닥,우리기술,20260323,annual,2025,12,periodic_20260323001668,있음,
19,업종 조선,한화오션,20260311,annual,2025,12,periodic_20260311004557,있음,
20,제목표 없음,현대글로비스,20231114,quarter,2023,9,periodic_20231114001761,있음,
21,보험 계정 · 정정본,삼성생명,20260331,annual,2025,12,periodic_20260331004244,있음,우선
22,보험 계정,삼성화재해상보험,20260312,annual,2025,12,periodic_20260312001399,있음,우선
