no,기업,접수일,보고서,기준,재무제표,항목,값,단위,회계연도,기간유형,비고
1,삼성전자,20240312,annual,연결,재무상태표,자산총계, 455905980, 백만원, 2023, 연간,우선
1,삼성전자,20240312,annual,연결,재무상태표,부채총계, 92228115, 백만원, 2023, 연간,우선
1,삼성전자,20240312,annual,연결,재무상태표,자본총계, 363677865, 백만원, 2023, 연간,우선
1,삼성전자,20240312,annual,연결,손익계산서,수익(매출액), 258935494, 백만원, 2023, 연간,우선
1,삼성전자,20240312,annual,연결,손익계산서,영업이익, 6566976, 백만원, 2023, 연간,우선
1,삼성전자,20240312,annual,연결,손익계산서,당기순이익, 15487100, 백만원, 2023, 연간,우선
2,KB금융,20240314,annual,연결,재무상태표,자산총계, 715738152, 백만원, 2023, 연간,우선
2,KB금융,20240314,annual,연결,재무상태표,부채총계, 656864842, 백만원, 2023, 연간,우선
2,KB금융,20240314,annual,연결,재무상태표,자본총계, 58873310, 백만원, 2023, 연간,우선
2,KB금융,20240314,annual,연결,손익계산서,순이자손익, 12141717, 백만원, 2023, 연간,우선
2,KB금융,20240314,annual,연결,손익계산서,영업이익, 6435319, 백만원, 2023, 연간,우선
2,KB금융,20240314,annual,연결,손익계산서,당기순이익, 4563431, 백만원, 2023, 연간,우선
3,삼성전자,20230814,half,연결,재무상태표,자산총계, 448000552, 백만원, 2023, 누적,우선
3,삼성전자,20230814,half,연결,재무상태표,부채총계, 89024926, 백만원, 2023, 누적,우선
3,삼성전자,20230814,half,연결,재무상태표,자본총계, 358975626, 백만원, 2023, 누적,우선
3,삼성전자,20230814,half,연결,손익계산서,수익(매출액), 123750904, 백만원, 2023, 누적,우선
3,삼성전자,20230814,half,연결,손익계산서,영업이익, 1308725, 백만원, 2023, 누적,우선
3,삼성전자,20230814,half,연결,손익계산서,당기순이익, 3298171, 백만원, 2023, 누적,우선
4,KB금융,20230814,half,연결,재무상태표,자산총계, 706317746, 백만원, 2023, 누적,우선
4,KB금융,20230814,half,연결,재무상태표,부채총계, 648612841, 백만원, 2023, 누적,우선
4,KB금융,20230814,half,연결,재무상태표,자본총계, 57704905, 백만원, 2023, 누적,우선
4,KB금융,20230814,half,연결,손익계산서,순이자이익, 5759263, 백만원, 2023, 누적,우선
4,KB금융,20230814,half,연결,손익계산서,영업이익, 4178038, 백만원, 2023, 누적,우선
4,KB금융,20230814,half,연결,손익계산서,당기순이익, 3003985, 백만원, 2023, 누적,우선
5,삼성전자,20230515,quarter,연결,재무상태표,자산총계, 454091777, 백만원, 2023, 누적,우선
5,삼성전자,20230515,quarter,연결,재무상태표,부채총계, 94292361, 백만원, 2023, 누적,우선
5,삼성전자,20230515,quarter,연결,재무상태표,자본총계, 359799416, 백만원, 2023, 누적,우선
5,삼성전자,20230515,quarter,연결,손익계산서,수익(매출액), 63745371, 백만원, 2023, 누적,우선
5,삼성전자,20230515,quarter,연결,손익계산서,영업이익, 640178, 백만원, 2023, 누적,우선
5,삼성전자,20230515,quarter,연결,손익계산서,당기순이익, 1574600, 백만원, 2023, 누적,우선
6,KB금융,20230515,quarter,연결,재무상태표,자산총계, 691435637, 백만원, 2023, 누적,우선
6,KB금융,20230515,quarter,연결,재무상태표,부채총계, 635195481, 백만원, 2023, 누적,우선
6,KB금융,20230515,quarter,연결,재무상태표,자본총계, 56240156, 백만원, 2023, 누적,우선
6,KB금융,20230515,quarter,연결,손익계산서,순이자이익, 2785593, 백만원, 2023,누적,우선
6,KB금융,20230515,quarter,연결,손익계산서,영업이익, 2125025, 백만원, 2023, 누적,우선
6,KB금융,20230515,quarter,연결,손익계산서,당기순이익, 1499214, 백만원, 2023, 누적,우선
13,KB금융,20260619,annual,연결,재무상태표,자산총계, 797923033, 백만원, 2025,연간,우선
13,KB금융,20260619,annual,연결,재무상태표,부채총계, 737093044, 백만원, 2025, 연간,우선
13,KB금융,20260619,annual,연결,재무상태표,자본총계, 60829989, 백만원, 2025, 연간,우선
13,KB금융,20260619,annual,연결,손익계산서,순이자손익, 13073093, 백만원, 2025, 연간,우선
13,KB금융,20260619,annual,연결,손익계산서,영업이익, 8517711, 백만원, 2025, 연간,우선
13,KB금융,20260619,annual,연결,손익계산서,당기순이익, 5840715, 백만원, 2025, 연간,우선
14,한화오션,20240514,quarter,연결,재무상태표,자산총계, 14894440131866, 원, 2024,누적,우선
14,한화오션,20240514,quarter,연결,재무상태표,부채총계, 10531119151368, 원, 2024,누적,우선
14,한화오션,20240514,quarter,연결,재무상태표,자본총계, 4363320980498, 원, 2024,누적,우선
14,한화오션,20240514,quarter,연결,손익계산서,매출액, 2283627126541, 원, 2024,누적,우선
14,한화오션,20240514,quarter,연결,손익계산서,영업이익, 52936271106, 원, 2024,누적,우선
14,한화오션,20240514,quarter,연결,손익계산서,분기순이익, 51020875189, 원, 2024,누적,우선
7,삼성전자,20260310,annual,연결,재무상태표,자산총계,"566,942,110",백만원,,연간,xbrl 자동
7,삼성전자,20260310,annual,연결,재무상태표,부채총계,"130,621,773",백만원,,연간,xbrl 자동
7,삼성전자,20260310,annual,연결,재무상태표,자본총계,"436,320,337",백만원,,연간,xbrl 자동
7,삼성전자,20260310,annual,연결,손익계산서,매출액 또는 영업수익,"333,605,938",백만원,,연간,xbrl 자동
7,삼성전자,20260310,annual,연결,손익계산서,영업이익,"43,601,051",백만원,,연간,xbrl 자동
7,삼성전자,20260310,annual,연결,손익계산서,당기순이익,"45,206,805",백만원,,연간,xbrl 자동
8,KB금융,20260313,annual,연결,재무상태표,자산총계,"797,923,033",백만원,,연간,xbrl 자동
8,KB금융,20260313,annual,연결,재무상태표,부채총계,"737,093,044",백만원,,연간,xbrl 자동
8,KB금융,20260313,annual,연결,재무상태표,자본총계,"60,829,989",백만원,,연간,xbrl 자동
8,KB금융,20260313,annual,연결,손익계산서,순이자손익,"13,073,093",백만원,,연간,xbrl 자동
8,KB금융,20260313,annual,연결,손익계산서,영업이익,"8,517,711",백만원,,연간,xbrl 자동
8,KB금융,20260313,annual,연결,손익계산서,당기순이익,"5,840,715",백만원,,연간,xbrl 자동
9,삼성전자,20250814,half,연결,재무상태표,자산총계,"504,875,185",백만원,,누적,xbrl 자동
9,삼성전자,20250814,half,연결,재무상태표,부채총계,"105,313,218",백만원,,누적,xbrl 자동
9,삼성전자,20250814,half,연결,재무상태표,자본총계,"399,561,967",백만원,,누적,xbrl 자동
9,삼성전자,20250814,half,연결,손익계산서,매출액 또는 영업수익,"153,706,820",백만원,,누적,xbrl 자동
9,삼성전자,20250814,half,연결,손익계산서,영업이익,"11,361,329",백만원,,누적,xbrl 자동
9,삼성전자,20250814,half,연결,손익계산서,당기순이익,"13,339,313",백만원,,누적,xbrl 자동
10,KB금융,20250814,half,연결,재무상태표,자산총계,"780,622,664",백만원,,누적,xbrl 자동
10,KB금융,20250814,half,연결,재무상태표,부채총계,"719,668,715",백만원,,누적,xbrl 자동
10,KB금융,20250814,half,연결,재무상태표,자본총계,"60,953,949",백만원,,누적,xbrl 자동
10,KB금융,20250814,half,연결,손익계산서,순이자손익,"6,368,691",백만원,,누적,xbrl 자동
10,KB금융,20250814,half,연결,손익계산서,영업이익,"4,425,999",백만원,,누적,xbrl 자동
10,KB금융,20250814,half,연결,손익계산서,당기순이익,"3,446,702",백만원,,누적,xbrl 자동
11,삼성전자,20250515,quarter,연결,재무상태표,자산총계,"516,376,748",백만원,,누적,xbrl 자동
11,삼성전자,20250515,quarter,연결,재무상태표,부채총계,"109,762,479",백만원,,누적,xbrl 자동
11,삼성전자,20250515,quarter,연결,재무상태표,자본총계,"406,614,269",백만원,,누적,xbrl 자동
11,삼성전자,20250515,quarter,연결,손익계산서,매출액 또는 영업수익,"79,140,503",백만원,,누적,xbrl 자동
11,삼성전자,20250515,quarter,연결,손익계산서,영업이익,"6,685,272",백만원,,누적,xbrl 자동
11,삼성전자,20250515,quarter,연결,손익계산서,당기순이익,"8,222,878",백만원,,누적,xbrl 자동
12,KB금융,20250515,quarter,연결,재무상태표,자산총계,"770,327,137",백만원,,누적,xbrl 자동
12,KB금융,20250515,quarter,연결,재무상태표,부채총계,"710,192,373",백만원,,누적,xbrl 자동
12,KB금융,20250515,quarter,연결,재무상태표,자본총계,"60,134,764",백만원,,누적,xbrl 자동
12,KB금융,20250515,quarter,연결,손익계산서,순이자손익,"3,262,165",백만원,,누적,xbrl 자동
12,KB금융,20250515,quarter,연결,손익계산서,영업이익,"2,293,028",백만원,,누적,xbrl 자동
12,KB금융,20250515,quarter,연결,손익계산서,당기순이익,"1,699,122",백만원,,누적,xbrl 자동
15,현대건설,20260318,annual,연결,재무상태표,자산총계,"27,791,708",백만원,,연간,xbrl 자동
15,현대건설,20260318,annual,연결,재무상태표,부채총계,"17,678,843",백만원,,연간,xbrl 자동
15,현대건설,20260318,annual,연결,재무상태표,자본총계,"10,112,865",백만원,,연간,xbrl 자동
15,현대건설,20260318,annual,연결,손익계산서,매출액 또는 영업수익,"31,062,912",백만원,,연간,xbrl 자동
15,현대건설,20260318,annual,연결,손익계산서,영업이익,"653,006",백만원,,연간,xbrl 자동
15,현대건설,20260318,annual,연결,손익계산서,당기순이익,"559,068",백만원,,연간,xbrl 자동
16,이마트,20260318,annual,연결,재무상태표,자산총계,"33,503,615,741,472",원,,연간,xbrl 자동
16,이마트,20260318,annual,연결,재무상태표,부채총계,"19,806,707,040,792",원,,연간,xbrl 자동
16,이마트,20260318,annual,연결,재무상태표,자본총계,"13,696,908,700,680",원,,연간,xbrl 자동
16,이마트,20260318,annual,연결,손익계산서,매출액 또는 영업수익,"28,970,388,263,858",원,,연간,xbrl 자동
16,이마트,20260318,annual,연결,손익계산서,영업이익,"322,541,170,250",원,,연간,xbrl 자동
16,이마트,20260318,annual,연결,손익계산서,당기순이익,"246,338,918,347",원,,연간,xbrl 자동
17,셀트리온,20260316,annual,연결,재무상태표,자산총계,"22,334,900,189,800",원,,연간,xbrl 자동
17,셀트리온,20260316,annual,연결,재무상태표,부채총계,"4,982,370,370,686",원,,연간,xbrl 자동
17,셀트리온,20260316,annual,연결,재무상태표,자본총계,"17,352,529,819,114",원,,연간,xbrl 자동
17,셀트리온,20260316,annual,연결,손익계산서,매출액 또는 영업수익,"4,162,495,108,881",원,,연간,xbrl 자동
17,셀트리온,20260316,annual,연결,손익계산서,영업이익,"1,168,471,345,595",원,,연간,xbrl 자동
17,셀트리온,20260316,annual,연결,손익계산서,당기순이익,"1,031,483,789,240",원,,연간,xbrl 자동
18,우리기술,20260323,annual,연결,재무상태표,자산총계,"338,455,308,703",원,,연간,xbrl 자동
18,우리기술,20260323,annual,연결,재무상태표,부채총계,"214,061,207,166",원,,연간,xbrl 자동
18,우리기술,20260323,annual,연결,재무상태표,자본총계,"124,394,101,537",원,,연간,xbrl 자동
18,우리기술,20260323,annual,연결,손익계산서,매출액 또는 영업수익,"87,135,395,389",원,,연간,xbrl 자동
18,우리기술,20260323,annual,연결,손익계산서,영업이익,"-5,486,712,823",원,,연간,xbrl 자동
18,우리기술,20260323,annual,연결,손익계산서,당기순이익,"-4,104,661,336",원,,연간,xbrl 자동
19,한화오션,20260311,annual,연결,재무상태표,자산총계,"20,140,914,014,349",원,,연간,xbrl 자동
19,한화오션,20260311,annual,연결,재무상태표,부채총계,"13,965,907,018,538",원,,연간,xbrl 자동
19,한화오션,20260311,annual,연결,재무상태표,자본총계,"6,175,006,995,811",원,,연간,xbrl 자동
19,한화오션,20260311,annual,연결,손익계산서,매출액 또는 영업수익,"12,783,512,278,323",원,,연간,xbrl 자동
19,한화오션,20260311,annual,연결,손익계산서,영업이익,"1,167,590,137,928",원,,연간,xbrl 자동
19,한화오션,20260311,annual,연결,손익계산서,당기순이익,"1,245,921,538,208",원,,연간,xbrl 자동
20,현대글로비스,20231114,quarter,연결,재무상태표,자산총계,"14,747,830,210,195",원,,누적,xbrl 자동
20,현대글로비스,20231114,quarter,연결,재무상태표,부채총계,"7,156,206,037,967",원,,누적,xbrl 자동
20,현대글로비스,20231114,quarter,연결,재무상태표,자본총계,"7,591,624,172,228",원,,누적,xbrl 자동
20,현대글로비스,20231114,quarter,연결,손익계산서,매출액 또는 영업수익,,,,누적,
20,현대글로비스,20231114,quarter,연결,손익계산서,영업이익,,,,누적,
20,현대글로비스,20231114,quarter,연결,손익계산서,당기순이익,,,,누적,
21,삼성생명,20260331,annual,연결,재무상태표,자산총계, 350685701, 백만원, 2025,연간,
21,삼성생명,20260331,annual,연결,재무상태표,부채총계, 285850383, 백만원, 2025,연간,
21,삼성생명,20260331,annual,연결,재무상태표,자본총계, 64835318, 백만원, 2025,연간,
21,삼성생명,20260331,annual,연결,손익계산서,보험서비스결과, 981030, 백만원,2025,연간,
21,삼성생명,20260331,annual,연결,손익계산서,영업이익, 2580469, 백만원, 2025,연간,
21,삼성생명,20260331,annual,연결,손익계산서,당기순이익, 2451515, 백만원, 2025,연간,
22,삼성화재해상보험,20260312,annual,연결,재무상태표,자산총계, 96450389944868, 원, 2025,연간,
22,삼성화재해상보험,20260312,annual,연결,재무상태표,부채총계, 75158009988554, 원, 2025,연간,
22,삼성화재해상보험,20260312,annual,연결,재무상태표,자본총계, 21292379956314, 원, 2025,연간,
22,삼성화재해상보험,20260312,annual,연결,손익계산서,보험손익, 1483034088528, 원, 2025,연간,
22,삼성화재해상보험,20260312,annual,연결,손익계산서,영업이익, 2659143002144, 원, 2025,연간,
22,삼성화재해상보험,20260312,annual,연결,손익계산서,연결당기순이익,2020287132255, 원, 2025,연간,
