term,freq,parts
기준일,34506,기준
비상장,33381,상장
전기말,31398,전기
당분기말,21851,당분 기말
이행현황,20750,이행 현황
당분기,18952,당분
전분기,17940,전분
당기손익공정가치측정금융자산,13374,당기 손익 공정 가치 측정 금융 자산
현금및현금성자산,12223,현금 자산
매출채권,11970,매출 채권
장부금액,11632,장부 금액
미상환잔액,10046,상환 잔액
유형자산,9619,유형 자산
리스부채,9453,리스 부채
잔여만기,9441,잔여 만기
이자비용,8948,이자 비용
부채총계,8517,부채 총계
자본총계,8480,자본 총계
취득원가,8233,취득 원가
자산총계,8163,자산 총계
KB증권,8129,KB 증권
관계기업,7954,관계 기업
영업이익,7803,영업 이익
이자수익,7794,이자 수익
하나증권,7711,하나 증권
퇴직급여,7697,퇴직 급여
전체특수관계자,7548,전체 특수 관계자
무형자산상각비,7368,무형 자산 상각
당기순이익,7308,당기 순이익
종속기업,7292,종속 기업
사업부문,6813,사업 부문
금융자산,6779,금융 자산
사업연도,6674,사업 연도
한도대출,6560,한도 대출
기초금액,6470,기초 금액
무형자산,6145,무형 자산
기타금융부채,5977,기타 금융 부채
배당금수익,5869,배당금 수익
채권명,5800,채권
이행상황보고서제출현황,5740,이행 상황 보고서 제출 현황
비유동자산,5731,유동 자산
유동자산,5580,유동 자산
단기차입금,5523,단기 차입금
외화환산이익,5468,외화 환산 이익
기타금융자산,5468,기타 금융 자산
금융수익,5463,금융 수익
외화환산손실,5432,외화 환산 손실
유동부채,5404,유동 부채
기타유동자산,5397,기타 유동 자산
장기차입금,5229,장기 차입금
재고자산,5226,재고 자산
비유동부채,5224,유동 부채
파생상품자산,5180,파생 상품 자산
법인세비용,5150,법인세 비용
기타비유동자산,5097,기타 유동 자산
기말금액,5008,기말 금액
매출채권및기타채권,5005,매출 채권 기타
기타비용,4991,기타 비용
작성기준일,4961,작성 기준
이행현황기준일,4924,이행 현황 기준
하위범위,4889,하위 범위
사용권자산,4857,사용 자산
비지배지분,4812,지배 지분
판매비와관리비,4767,판매 관리비
이익잉여금,4715,이익 잉여금
차량운반구,4700,차량 운반
단기금융상품,4677,단기 금융 상품
금융부채,4630,금융 부채
미수수익,4599,미수 수익
지급수수료,4585,지급 수수료
당기순이익손실,4583,당기 순이익 손실
통화선도,4490,통화 선도
지배구조변경제한현황,4488,지배 구조 변경 제한 현황
파생상품부채,4475,파생 상품 부채
매입채무및기타채무,4466,매입채무 기타 채무
담보권설정제한현황,4458,담보 설정 제한 현황
자산처분제한현황,4458,자산 처분 제한 현황
유형자산처분이익,4431,유형 자산 처분 이익
유형자산처분손실,4359,유형 자산 처분 손실
재무비율유지현황,4358,재무 비율 유지 현황
기타유동부채,4228,기타 유동 부채
기타자산,4220,기타 자산
기타부채,4220,기타 부채
삼성전자주,4215,삼성전자
투자부동산,4209,투자 부동산
기타포괄손익,4047,기타 포괄 손익
당기손익공정가치측정금융부채,4040,당기 손익 공정 가치 측정 금융 부채
삼성물산주,3886,삼성물산
당기손익인식금융자산,3843,당기 손익 인식 금융 자산
씨제이대한통운주,3838,씨제이 대한통운
당기말,3815,당기
기타포괄손익누계액,3798,기타 포괄 손익 누계
금융자산범주,3724,금융 자산 범주
기타비유동금융자산,3694,기타 유동 금융 자산
자본잉여금,3647,자본 잉여금
계약자산,3636,계약 자산
복리후생비,3607,복리 후생비
기타특수관계자,3528,기타 특수 관계자
미지급비용,3488,지급 비용
대출채권,3488,대출 채권
상각후원가측정금융자산,3480,상각 원가 측정 금융 자산
차입부채,3476,차입 부채
기타비유동부채,3463,기타 유동 부채
해외사업환산손익,3443,해외 사업 환산 손익
기타유동금융자산,3420,기타 유동 금융 자산
기계장치,3411,기계 장치
대손상각비,3398,대손 상각
미지급금,3387,지급금
차입금명칭,3358,차입금 명칭
외환차익,3323,외환 차익
지분법자본변동,3308,지분 자본 변동
손상차손누계액,3303,손상 누계
금융비용,3302,금융 비용
법인세비용차감전순이익,3276,법인세 비용 차감 순이익
범위합계,3242,범위 합계
예수부채,3226,예수 부채
재공품,3186,
외환차손,3184,환차손
계정과목,3103,계정 과목
채무증권,3078,채무 증권
분기말,3077,분기
엘아이지넥스원주,3055,엘아이지넥스원
주제일기획,3040,주제 기획
전체특수관계자합계,3009,전체 특수 관계자 합계
기타수익,3002,기타 수익
파생상품평가이익,2996,파생 상품 평가 이익
환율변동효과,2965,환율 변동 효과
퇴직소득,2948,퇴직 소득
기타소득,2926,기타 소득
공정가치서열체계수준1,2913,공정 가치 서열 체계 수준
대손충당금,2907,대손 충당금
기타채권,2853,기타 채권
기타근로소득,2845,기타 근로 소득
충당부채,2840,충당 부채
당기근무원가,2838,당기 근무 원가
저장품,2827,저장
영업이익손실,2822,영업 이익 손실
정부보조금,2802,정부 보조금
상각후원가측정대출채권,2790,상각 원가 측정 대출 채권
주식매수선택권행사이익,2778,주식 매수 선택 행사 이익
하나캐피탈,2769,하나 캐피탈
공동기업,2767,공동 기업
주식발행초과금,2751,주식 발행 초과
무형자산처분손실,2737,무형 자산 처분 손실
수익매출액,2735,수익 매출액
삼성에스디에스주,2727,삼성에스디에스
기타비유동금융부채,2722,기타 유동 금융 부채
광고선전비,2717,광고 선전비
감가상각누계액,2659,감가상각 누계
금융상품,2643,금융 상품
