part,part_df,n_owner,owner_max_df,share,vs_owner
단위,127600,67,2678,0.7437,47.65
기타,95219,765,31788,0.555,3.0
자산,93734,998,39543,0.5464,2.37
대한,90695,1,37,0.5286,2451.22
회사,87760,143,12948,0.5115,6.78
금액,84803,211,31958,0.4943,2.65
기업,84058,277,29167,0.49,2.88
기준,82757,96,35757,0.4824,2.31
금융,77723,691,39543,0.453,1.97
기말,75739,125,21222,0.4415,3.57
당기,75518,186,33987,0.4402,2.22
전기,73519,24,42311,0.4285,1.74
투자,72417,466,10276,0.4221,7.05
현재,72369,19,12230,0.4218,5.92
공시,71094,11,22519,0.4144,3.16
사업,70746,134,11586,0.4124,6.11
관련,69072,194,1991,0.4026,34.69
변동,65764,144,16519,0.3833,3.98
주식,64872,293,16389,0.3781,3.96
부채,64276,675,23219,0.3746,2.77
합계,63936,260,751,0.3727,85.13
재무,61036,13,1825,0.3558,33.44
손익,58893,425,36173,0.3433,1.63
연결,58872,63,17003,0.3431,3.46
평가,57558,296,14804,0.3355,3.89
거래,57235,232,5998,0.3336,9.54
당사,56737,2,490,0.3307,115.79
가치,56617,134,42981,0.33,1.32
다음,56503,4,328,0.3293,172.27
기간,56036,41,4265,0.3266,13.14
분기,56015,62,25814,0.3265,2.17
보고,54912,17,1824,0.3201,30.11
포함,54697,28,0,0.3188,0.0
주요,54695,52,3995,0.3188,13.69
계약,54687,400,8711,0.3188,6.28
내역,54089,22,16519,0.3153,3.27
공정,53843,105,42981,0.3138,1.25
수익,53711,275,13460,0.3131,3.99
상품,53623,413,29327,0.3126,1.83
비용,51851,273,15250,0.3022,3.4
해당,51690,11,400,0.3013,129.22
영업,51645,152,10426,0.301,4.95
지급,51413,194,11212,0.2997,4.59
사항,51334,31,5930,0.2992,8.66
기초,50493,120,3984,0.2943,12.67
사용,50029,111,13780,0.2916,3.63
법인,50021,38,2314,0.2916,21.62
관계,49556,110,25363,0.2888,1.95
이익,49100,409,11636,0.2862,4.22
증권,48790,314,12420,0.2844,3.93
현금,48718,192,27683,0.284,1.76
자본,48693,250,6986,0.2838,6.97
관리,48431,62,3139,0.2823,15.43
지분,47430,161,13738,0.2765,3.45
채권,46474,292,22738,0.2709,2.04
매출,46462,164,22738,0.2708,2.04
발생,46143,25,1051,0.269,43.9
내용,45212,31,3358,0.2635,13.46
측정,44304,115,14139,0.2582,3.13
인식,43192,56,6553,0.2518,6.59
가능,43094,45,1461,0.2512,29.5
취득,41749,89,9155,0.2433,4.56
정보,41263,20,3120,0.2405,13.23
구분,41052,28,407,0.2393,100.86
융자,41009,6,157,0.239,261.2
원가,40857,154,15648,0.2381,2.61
기술,40626,111,2836,0.2368,14.33
이자,40522,185,19265,0.2362,2.1
현황,40058,31,2493,0.2335,16.07
종속,39915,78,29167,0.2327,1.37
발행,39627,105,8852,0.231,4.48
채무,39617,134,8946,0.2309,4.43
한국,38654,31,1986,0.2253,19.46
포괄,38570,99,36173,0.2248,1.07
유동,38185,581,16850,0.2226,2.27
보유,37820,19,915,0.2204,41.33
경영,37795,25,2086,0.2203,18.12
손실,37725,388,8908,0.2199,4.23
대상,37501,44,4265,0.2186,8.79
회계,37462,47,10167,0.2184,3.68
상각,37051,154,17795,0.216,2.08
장부,36995,32,31958,0.2156,1.16
부금,36287,3,128,0.2115,283.49
제공,36158,16,1627,0.2108,22.22
처분,36102,225,9522,0.2104,3.79
유형,35953,101,23526,0.2096,1.53
조정,35930,206,3291,0.2094,10.92
리스,35780,149,18718,0.2086,1.91
장기,35724,201,7396,0.2082,4.83
적용,35715,29,1145,0.2082,31.19
작성,35364,2,8333,0.2061,4.24
지배,35044,86,16963,0.2043,2.07
분류,34845,20,352,0.2031,98.99
시장,34498,48,3932,0.2011,8.77
보증,34286,426,11212,0.1998,3.06
여부,34020,27,2014,0.1983,16.89
단기,33840,157,7979,0.1972,4.24
구성,33273,13,2892,0.1939,11.51
위험,32754,177,12547,0.1909,2.61
재무제표,32634,4,17003,0.1902,1.92
사채,32308,341,4202,0.1883,7.69
판매,32118,82,8755,0.1872,3.67
영향,32051,4,13,0.1868,2465.46
차입,31976,57,4210,0.1864,7.6
개발,31917,86,7389,0.186,4.32
목적,31807,74,3858,0.1854,8.24
주주,31767,54,12168,0.1852,2.61
증가,31455,32,1424,0.1833,22.09
상환,31188,91,1384,0.1818,22.53
자금,30236,110,3493,0.1762,8.66
당분,29894,6,29227,0.1742,1.02
배당,29783,92,4271,0.1736,6.97
이사,29694,26,9883,0.1731,3.0
매입,29455,91,1381,0.1717,21.33
제외,29424,25,851,0.1715,34.58
운영,29355,38,3493,0.1711,8.4
충당,29186,149,13629,0.1701,2.14
파생,29072,281,25556,0.1695,1.14
흐름,28907,96,27683,0.1685,1.04
신용,28630,127,8426,0.1669,3.4
미래,28162,17,779,0.1641,36.15
변경,28151,34,963,0.1641,29.23
감소,28126,30,850,0.1639,33.09
산업,28067,48,2034,0.1636,13.8
반기,27965,14,1512,0.163,18.5
급여,27923,135,11496,0.1628,2.43
초과,27889,36,3591,0.1626,7.77
보고서,27704,4,1063,0.1615,26.06
활동,27687,19,2829,0.1614,9.79
결정,27648,4,597,0.1612,46.31
효과,27548,85,6776,0.1606,4.07
이상,27321,13,43,0.1592,635.37
보험,27068,267,7132,0.1578,3.8
기관,26963,65,12759,0.1572,2.11
동산,26955,5,156,0.1571,172.79
항목,26858,48,1915,0.1565,14.03
부동산,26831,70,10276,0.1564,2.61
일반,26828,73,2536,0.1564,10.58
손상,26816,76,16142,0.1563,1.66
무상,26486,21,1534,0.1544,17.27
정기,26393,25,6769,0.1538,3.9
입금,25958,2,33,0.1513,786.61
확정,25864,104,9011,0.1508,2.87
만기,25765,31,5933,0.1502,4.34
법인세,25655,105,13521,0.1495,1.9
개월,25608,12,534,0.1493,47.96
파생상품,25556,15,793,0.149,32.23
방법,25395,26,2700,0.148,9.41
전체,25198,32,296,0.1469,85.13
해외,25156,80,7321,0.1466,3.44
예정,25030,54,4059,0.1459,6.17
주식회사,24998,289,380,0.1457,65.78
서비스,24648,117,2448,0.1437,10.07
은행,24544,46,748,0.1431,32.81
잔액,24228,45,2615,0.1412,9.27
자기,24172,39,4451,0.1409,5.43
차입금,24125,143,7979,0.1406,3.02
보통,23916,9,1316,0.1394,18.17
사회,23865,4,84,0.1391,284.11
순이,23795,3,76,0.1387,313.09
상태,23765,2,561,0.1385,42.36
체결,23742,15,2856,0.1384,8.31
공동,23707,69,14617,0.1382,1.62
무형,23559,73,23124,0.1373,1.02
약정,23551,135,5930,0.1373,3.97
이후,23512,2,0,0.137,0.0
소유,23434,10,4030,0.1366,5.81
결과,23238,6,792,0.1354,29.34
US,23178,1,0,0.1351,0.0
이행,23177,40,3921,0.1351,5.91
일자,23022,22,2119,0.1342,10.86
이하,22992,22,1362,0.134,16.88
조건,22981,52,3763,0.134,6.11
가격,22890,38,3593,0.1334,6.37
사모,22866,52,4136,0.1333,5.53
부문,22708,157,9854,0.1324,2.3
연도,22686,9,11586,0.1322,1.96
반영,22466,20,749,0.1309,29.99
유지,22347,12,108,0.1303,206.92
업무,22274,45,3072,0.1298,7.25
차감,22256,52,5218,0.1297,4.27
고객,22194,25,501,0.1294,44.3
이용,22147,11,201,0.1291,110.18
수행,22094,3,2311,0.1288,9.56
전문,21899,19,1244,0.1276,17.6
외화,21684,167,8474,0.1264,2.56
요소,21684,29,6995,0.1264,3.1
추정,21676,11,721,0.1263,30.06
예상,21662,15,365,0.1263,59.35
제도,21642,29,6754,0.1261,3.2
행사,21588,45,3156,0.1258,6.84
성장,21421,22,3420,0.1249,6.26
건설,21402,31,1513,0.1247,14.15
신규,21378,21,1258,0.1246,16.99
시기,21366,10,1000,0.1245,21.37
국내,21299,32,589,0.1241,36.16
순이익,21263,123,13550,0.1239,1.57
추가,21220,12,149,0.1237,142.42
대체,21177,47,1521,0.1234,13.92
정책,21131,8,181,0.1232,116.75
별도,20918,5,2127,0.1219,9.83
전자,20722,19,2787,0.1208,7.44
비율,20691,76,4458,0.1206,4.64
계획,20613,4,517,0.1201,39.87
종류,20526,22,1184,0.1196,17.34
기재,20489,1,0,0.1194,0.0
기대,20474,32,5883,0.1193,3.48
수준,20364,10,151,0.1187,134.86
환율,20261,39,12442,0.1181,1.63
대출,20163,223,7941,0.1175,2.54
할인,20159,87,8968,0.1175,2.25
공사,20155,123,2536,0.1175,7.95
처리,20086,20,10167,0.1171,1.98
주석,20082,12,35,0.1171,573.77
표시,19990,14,170,0.1165,117.59
유한,19857,37,165,0.1157,120.35
환경,19846,13,197,0.1157,100.74
계정,19732,33,4837,0.115,4.08
범위,19620,15,2278,0.1144,8.61
전환,19578,84,2392,0.1141,8.18
의무,19546,4,2311,0.1139,8.46
이사회,19378,12,520,0.1129,37.27
종료,19354,5,38,0.1128,509.32
보통주,19340,68,1263,0.1127,15.31
글로벌,19322,17,485,0.1126,39.84
평균,19281,52,6905,0.1124,2.79
이자율,19265,2,3347,0.1123,5.76
상황,19249,4,1392,0.1122,13.83
구조,19085,5,252,0.1112,75.73
가상,18933,4,1113,0.1104,17.01
내부,18868,37,3594,0.11,5.25
감사,18830,27,8102,0.1098,2.32
충당금,18825,107,9843,0.1097,1.91
진행,18756,14,2708,0.1093,6.93
누계,18721,38,7929,0.1091,2.36
에스,18587,21,483,0.1083,38.48
담보,18574,69,2859,0.1083,6.5
하나,18546,16,1594,0.1081,11.63
가액,18537,40,5555,0.108,3.34
근거,18405,3,1493,0.1073,12.33
차이,18309,27,3791,0.1067,4.83
직접,18262,4,252,0.1064,72.47
성과,18181,6,393,0.106,46.26
세부,18161,1,27,0.1059,672.63
Ltd,18090,2,0,0.1054,0.0
케이,18056,8,233,0.1052,77.49
배당금,18009,42,6095,0.105,2.95
산정,18004,1,15,0.1049,1200.27
서울,17995,14,3096,0.1049,5.81
운용,17994,57,2043,0.1049,8.81
경제,17885,4,49,0.1042,365.0
최초,17861,6,328,0.1041,54.45
특수,17743,119,13712,0.1034,1.29
제품,17703,55,1292,0.1032,13.7
회수,17686,37,771,0.1031,22.94
지속,17576,5,331,0.1024,53.1
위원,17459,25,8102,0.1018,2.15
지원,17409,22,2086,0.1015,8.35
매각,17405,47,4059,0.1014,4.29
자회사,17400,3,0,0.1014,0.0
한도,17394,52,2055,0.1014,8.46
시스템,17386,14,562,0.1013,30.94
수수,17294,1,0,0.1008,0.0
출자,17290,37,1553,0.1008,11.13
전분,17282,1,17105,0.1007,1.01
투자자,17268,11,388,0.1007,44.51
검토,17241,3,729,0.1005,23.65
시점,17196,2,231,0.1002,74.44
상장,17121,23,7532,0.0998,2.27
필요,17068,7,108,0.0995,158.04
기타비,16987,2,2489,0.099,6.82
제조,16898,14,576,0.0985,29.34
환산,16764,63,8474,0.0977,1.98
경영진,16702,2,1042,0.0974,16.03
국제,16681,7,129,0.0972,129.31
결제,16641,37,1163,0.097,14.31
IC,16606,1,30,0.0968,553.53
